Sentence,Main Topic Sentiment
RT @keithboykin: One softball question on #BlackLivesMatter. One quick answer. Done in 30 seconds. Then commericial break. #GOPDebate,Negative
#GOPDebate was ummm terrible,Negative
POLL: Who do you think won the 9PM .@FoxNews #GOPDebate? http://t.co/4Bp1KypEc6 #WakeUpAmerica #OutNumbered,Neutral
"RT @AmyMek: How disgusting is @megynkelly's tone, Show some respect toward's God and all of us who put him first in our lives! #GOPDebate",Negative
"http://t.co/OvG0auASYi... oh my, really? y'all thought @realDonaldTrump won last nights #GOPDebate",Negative
RT @JuliaWeingarden: That whole question about God was extremely inappropriate. I guess in the world of Fox News only Christians can have a…,Negative
"RT @edstetzer: If @RealBenCarson continues to talk about tithing, and it catches on, every pastor in America will vote for him. #GOPDebate",Positive
RT @deejayedee: Such sob stories - poor Repub boys! Where are the tissues? #GOPDebate,Negative
If there's one thing to take away from last night's #GOPDebate it's that improv comedy is alive and well,Neutral
.@mattyglesias on the @realDonaldTrump and last night's #GOPDebate http://t.co/qvFMafvgu0 h/t @zmcdade http://t.co/qM3jG1Y07q,Neutral
RT @MichaelYaffee: In #GOPDebate who do YOU think said what #Millennials care about most? I will tell you tonight at 8pm! http://t.co/1sk3T…,Neutral
"IF the election were today &amp; I had to vote, based on last night's #GOPDebate my vote for POTUS would be @tedcruz . Bold Christians are rare!",Positive
#Trump was spot on in his description of business bankruptcies. Playing by same rules as all businesses. #GOPDebate  https://t.co/cgNHoXchDL,Positive
RT @madyclahane: srry rather not have decisions over my body being made by men that can't count to two #GOPDebate  https://t.co/1Ps81yQaOl,Negative
The race for the #GOP Presidential nomination was a riot! LOL! I didn't know the circus was in town! Wow! #GOPDebate http://t.co/jQ1cnfgGwY,Negative
The best and worst from the #GOPDebate http://t.co/YkI30j7hhO,Neutral
"Isn't ""@FoxNews fact checkers"" an oxymoron? They don't fact check on a daily basis. Or they do &amp; ignore them...like last night. #GOPDebate",Neutral
RT @andylevy: bless u for this rand paul #GOPdebate,Positive
I suspect if I watched the #GOPDebate I would need to keep a bucket handy. I saw the Trump clip and threw up in my mouth within 10 secs.,Negative
RT @Urza83: @POTUS just watched the #GOPDebate  He got a good laugh. #UniteBlue #LibCrib #TYT #tcot #topprog #p2 #TNTweeters http://t.co/Aj…,Negative
@realDonaldTrump @megynkelly Megyn tried to Stump the Trump and got burned. #Trump #GOPDebate,Positive
Last night’s #GOPDebate had talk of God and Gays but what about the Guns? The only lives that seem to matter to that bunch is the unborn.,Negative
RT @newlinla: My friends' 3-year-old's thoughts on Donald Trump are hilarious. #UniteBlue #GOPDebate http://t.co/gJ37M8NaM9,Negative
"Problem with #GOPDebate too many candidates, no one got enough time to answer ALL important questions. Can't wait for the herd to thin",Negative
"@LLAmos @SprightlyMagic Considering which debate it was, I can't blame them! I might need to join them! Thanks #gopdebate",Negative
RT @RoniSeale: @DanScavino @realDonaldTrump is being honest and not backing down. #TrumpIsRight #Trump2016  #GOPDebate,Neutral
@hughhewitt was right when declared on @AdamCarollaShow that Hillary WILL be the next POTUS. Thx to #Trump2016 for confirming @ #GOPDebate,Neutral
"RT @Dreamdefenders: ""Unite everybody""... Really? Does that include people of color? The LGBTQ community? Women? #KKKorGOP #GOPDebate",Negative
I think Trump should have been debate moderator. That would be a good role for him #GOPDebate,Positive
So funny that @ComedyCentral should host the next #GOPDebate @mtaibbi,Negative
"RT @tweetreachapp: We wrote about how the candidates performed on Twitter, if you’re interested! https://t.co/MqjYrub6tD #GOPDebate",Neutral
Tough to watch the #GOPDebate and not sense that @FoxNews' line of questioning was trying to depose @realDonaldTrump and anoint Jeb.,Negative
Next #GOPDebate I nominate @KatTimpf @JoNosuchinsky and @greggutfeld to be the moderators. I would watch for at least 24 straight hours!,Neutral
RT @kristenjobarton: me @ #GOPDebate talking about Planned Parenthood http://t.co/OYIZmqZoWj,Neutral
"Trump didn't pledge to not run third party, but I'll pledge to vote third party if he's the nominee. http://t.co/3teP5ZSZUn #GOPDebate",Negative
RT @JohnFugelsang: The 5 least recommended #GOPDebate Drinking Game Words: 5) 'Middle Class' 4) 'Cheney' 3) 'Science' 2) 'Black Lives Matte…,Neutral
"RT @michaelsnook: I can't wait for the meme about Donald Trump's beautiful, classy door at the border. #GOPDebate",Negative
@CBSMiami #GOPDebate RE: @POTUS is your problem!Ucan continue 2ignore facts of evidence he's a SNEAKY SCUMBAG #BITEME http://t.co/2P7WF9o56H,Negative
"""And of course, I'm talking about Hillary Clinton"" was the most Reaganesque moment last night. Good job, #Huckabee! #GOPDebate",Positive
"My take away from last night's #GOPDebate: I love @Rosie, and I always will.",Positive
RT @ThePatriot143: The most surprising part of last nights #GOPDebate was that @megynkelly didn't attack Trumps hair. @realDonaldTrump,Negative
RT @NiktaKanuka: Check out @klipfolio's #GOPDebate dashboard! See sentiment about candidates in real time http://t.co/X5ZXVGu4Uv http://t.c…,Neutral
RT @Leapoverthat: nothing really as refreshing as hearing the top 1% instructing civilians how to handle and cope with poverty #GOPDebate,Negative
with more reflection &amp; a good nights rest I've come to the conclusion that last nights #GOPDebate was a roast competition more than anything,Negative
#GOPDebate I'm really happy you cut back taxes in your state but it's still unclear how I'm going to feel safe in my own country...,Negative
@stickwithjosh #truth Surprised that cosponsor @facebook didn't have a live stream. #GOPDebate,Neutral
RT @JessicaValenti: Thinking of tweeting the debate the way the media covers women in politics. GAWD THEIR VOICES ARE GRATING #GOPDebate,Negative
"RT @apunkfemme: how are yall ""pro life"" but you're pro war, pro guns, pro ""i pretend to care about a fetus but not actual living children"" …",Negative
Watching the GOP debate this morning ( yes I missed it last night ) .....wow......just wow. O_o #GOPDebate,Positive
"With some of @realDonaldTrump's past positions, it would have been fun to see him run against @HillaryClinton in Democrat Primary #GOPDebate",Negative
RT @AmbJohnBolton: At times an interesting discussion in #OH. It's important we keep putting #foreignpolicy at the center of #GOPdebate,Positive
#GOPDebate  @FoxNews better watch out I believe the @realDonaldTrump will be fighting back.,Positive
RT @bamasevere: Megyn Kelly shouldn't be worried about Trump's party loyalty. We watched her transform to a liberal in 3 hours. #GOPDebate,Negative
Gotta remember @realDonaldTrump is a leader not a debater. Held his own against deep rooted politicians very well. #Trump2016 #GOPDebate,Positive
Looking forward to hearing what you &amp; Katie think about the #GOPDebate last night &amp; #FastandFurious #JonJustice  https://t.co/PhIW1JkUaP,Neutral
RT @namenzie: Safe to say every person of color knows this. We usually aren't the ones who need convincing. #BenCarson #GOPDebate http://t.…,Positive
RT @Roxsett27573: Why is #outnumbered trying to make the #GOPDebate more exciting than it was? @foxnews has all shows promoting the weak de…,Negative
Kicking back with a glass of wine and catching up with the #GOPDebate,Neutral
RT @mollotm: See #socialmedia sentiment for #GOPDebate candidates as it changes during debate tonight http://t.co/H6nF5JBLTp http://t.co/3J…,Neutral
RT @CaseyWertz_: .@FoxNews How much did the rest of the group pay you to give them real questions and give .@realDonaldTrump bullshit quest…,Negative
RT @BrandonLavy: @BenCarson is wrong. What makes America really great is not our unity but our respect of individuality. (1/1) #GOPDebate,Negative
So I guess Trump Is paying off people to win debates now. 😂 #GOPDebate,Negative
"RT @jennifernvictor: Wait a sec. Social Security wasn't robbed to pay for Obamacare, it was robbed to pay for Iraq war (and a bunch of othe…",Negative
RT @aLocalGyro: Very worried about America right now. #GOPDebate,Negative
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
